ObjectName;MAss(volume);X;Y;Z;
Fr-1?thickness:8;579492.124444444; -368.866666666667;  33.7333333333333;  0;
Fr-2?thickness:8;218019.413333333; -88;  -8.79999999999998;  0;
Fr-3?thickness:8;195148.8; 181.866666666667;  -85.8;  0;
